 NA. No. LeaseWarehouse District LaiLong longtitude Area Fee Closest_point Closest_distance House_Price Distance_from_center
1 1075 3627 （出租）出租通州漷县草厂仓库 Tongzhou 40.076842 116.118935 1000 0.1 5443 4.22943230886 40779.0 31.3334140734
2 390 4717 （出租）业主低价直租亦庄马驹桥库房整租分租合作托管均 Tongzhou 39.7514419 116.5697536 5000 0.1 13514 0.912889764977 37114.0 21.3726305768
3 393 3738 （出租）出租大兴亦庄马驹桥1号桥仓库 Tongzhou 39.749173 116.561185 5000 0.1 13514 0.181782479408 37114.0 20.5297057555
4 741 1877 （出租）大兴瀛海镇库房货物代管 Daxing 39.756206 116.452296 2000 0.1 17008 0.937348159188 43328.0 10.1557101386
5 908 2486 （出租）出租1300平单个厂库房带配套办公住宿 Tongzhou 39.73897 116.555165 1300 0.1 12501 0.422438437542 30970.0 20.1172201688
6 2104 4346 （出租）东城云梦东城明珠附近仓库162平米 Dongcheng 39.928353 116.416357 162 0.102880658436 207 0.0670038779192 115100.0 3.04498550678
7 1580 997 （出租）仓库投资找合作伙伴开电商 Daxing 39.680786 116.343962 500 0.105333333333 17939 1.13109271971 24386.0 12.3392742234
8 682 2947 （出租）出租通州-通州周边2000平米仓库6500元/月 Tongzhou 39.687922 116.710444 2000 0.108333333333 11985 9.40603504133 67967.0 37.2035566053
9 684 3270 （出租）整院16间房400平米厂房400平米库房 Tongzhou 39.909946 116.656435 2000 0.108333333333 12758 0.0788754084736 67210.0 29.561215717
11 2650 626 （出租）出租海淀紫竹桥仓蜂阁私储自助仓 Haidian 39.959912 116.298055 30 0.108888888889 6559 0.0906728019893 99961.0 10.6088333716
12 2661 4094 （出租）办公家具、行李、红酒、艺术品、生活物品存储私小仓库 Chaoyang 39.8057353 116.5308468 30 0.108888888889 18812 0.269891651943 20388.0 16.3913439107
13 2666 265 （出租）私人物品存放寄存行李短期存储自助仓 Haidian 39.9696062 116.3188145 30 0.11 5450 0.102952023498 77882.0 8.5488655845
14 827 3839 （出租）出租通州-次渠1500平米仓库5000元/月 Tongzhou 40.145522 116.546668 1500 0.111111111111 19996 0.601819085332 51547.0 20.9842454309
15 2617 4701 （出租）出租海淀-五棵松30平米仓库100元/月 Haidian 39.8716412 116.3644171 30 0.111111111111 10314 0.0150896363657 63272.0 3.40736921598
16 581 3470 （出租）牛堡屯张家湾厂库房3000平米（独院） Tongzhou 39.762112 116.699198 3000 0.111111111111 11985 5.51555926168 67967.0 35.0685112965
17 1841 1159 （出租）直租亚运村安慧里小区地下室仓库10-300平米 Chaoyang 39.985141 116.409611 300 0.111111111111 2989 0.453824089528 86777.0 4.38191455069
